Unique.Squirrel.ID,Hectare,Shift,Date,Hectare.Squirrel.Number,Age,Weight,Primary.Fur.Color,Highlight.Fur.Color,Combination.of.Primary.and.Highlight.Color,Color.notes,Location,Above.Ground.Sighter.Measurement,Specific.Location,Running,Chasing,Climbing,Eating,Foraging,Other.Activities,Kuks,Quaas,Moans,Tail.flags,Tail.twitches,Approaches,Indifferent,Runs.from,Other.Interactions
37F-PM-1014-03,37F,PM,10142018,3,,585.9985696,,,+,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
21B-AM-1019-04,21B,AM,10192018,4,,465.8381293,,,+,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
11B-PM-1014-08,11B,PM,10142018,8,,374.0603606,Gray,,Gray+,,Above Ground,10,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
32E-PM-1017-14,32E,PM,10172018,14,Adult,256.7697157,Gray,,Gray+,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,,,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
13E-AM-1017-05,13E,AM,10172018,5,Adult,684.4702464,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,on tree stump,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
11H-AM-1010-03,11H,AM,10102018,3,Adult,819.6531282,Cinnamon,White,Cinnamon+White,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
36H-AM-1010-02,36H,AM,10102018,2,Adult,551.270955,Gray,,Gray+,just outside hectare,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
33F-AM-1008-02,33F,AM,10082018,2,Adult,415.0533064,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
21C-PM-1006-01,21C,PM,10062018,1,Adult,518.7042221,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
11D-AM-1010-03,11D,AM,10102018,3,Adult,476.9038623,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,30,,FALSE,FALSE,TRUE,FALSE,FALSE,grooming,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
20B-PM-1013-05,20B,PM,10132018,5,Adult,611.2935974,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
22F-PM-1014-06,22F,PM,10142018,6,Adult,579.235677,Gray,,Gray+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
36I-PM-1007-01,36I,PM,10072018,1,Adult,469.9539454,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
5C-PM-1010-09,05C,PM,10102018,9,Adult,559.1066825,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
7H-AM-1006-05,07H,AM,10062018,5,Adult,591.3163271,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,10,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
16C-PM-1018-03,16C,PM,10182018,3,Adult,366.6185918,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,6,,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
14E-AM-1008-23,14E,AM,10082018,23,Adult,551.5498095,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,walking,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
